Time,NodeId,CO2Concentration,Temperature,SmokeConcentration,X,Y,Z
1720510602258,4,400,3150,0,444,444,444
1720510605328,4,400,3150,0,444,444,444
1720510608400,4,400,3156,0,444,444,444
1720510611481,4,400,3156,0,444,444,444
1720510611669,3,400,3143,0,333,333,333
1720510614554,4,400,3162,0,444,444,444
1720510614740,3,400,3143,0,333,333,333
1720510617630,4,400,3162,0,444,444,444
1720510617828,3,400,3143,0,333,333,333
1720510620711,4,433,3162,0,444,444,444
1720510620895,3,400,3143,0,333,333,333
1720510623787,4,400,3162,0,444,444,444
1720510623976,3,400,3150,0,333,333,333
1720510625070,1,400,3162,0,1,1,1
1720510626859,4,400,3162,0,444,444,444
1720510627047,3,442,3143,0,333,333,333
1720510628156,1,400,3162,0,1,1,1
1720510629945,4,400,3168,0,444,444,444
1720510630125,3,445,3150,0,333,333,333
1720510631236,1,400,3162,0,1,1,1
1720510633020,4,404,3168,0,444,444,444
1720510633206,3,455,3150,0,333,333,333
1720510633503,5,400,3087,0,555,555,555
1720510634306,1,400,3162,0,1,1,1
1720510636091,4,402,3168,0,444,444,444
1720510636281,3,509,3150,0,333,333,333
1720510636607,5,400,3087,0,555,555,555
1720510637378,1,400,3168,0,1,1,1
1720510639168,4,464,3168,0,444,444,444
1720510639367,3,419,3150,0,333,333,333
1720510639651,5,400,3087,0,555,555,555
1720510640455,1,400,3175,0,1,1,1
1720510641469,2,400,3231,0,222,222,222
1720510642340,4,414,3175,0,444,444,444
1720510642441,3,446,3156,0,333,333,333
1720510642727,5,400,3093,0,555,555,555
1720510643535,1,400,3175,0,1,1,1
1720510644542,2,400,3231,0,222,222,222
1720510645334,4,438,3175,0,444,444,444
1720510645518,3,494,3156,0,333,333,333
1720510645805,5,400,3093,0,555,555,555
1720510646610,1,400,3175,0,1,1,1
1720510647612,2,400,3243,0,222,222,222
1720510648406,4,400,3181,0,444,444,444
1720510648584,3,427,3156,0,333,333,333
1720510648889,5,400,3093,0,555,555,555
1720510649697,1,400,3175,0,1,1,1
1720510650685,2,400,3243,0,222,222,222
1720510651475,4,400,3181,0,444,444,444
1720510651656,3,400,3156,0,333,333,333
1720510651964,5,400,3100,0,555,555,555
1720510652768,1,400,3175,0,1,1,1
1720510653758,2,400,3243,0,222,222,222
1720510654555,4,400,3187,0,444,444,444
1720510654736,3,400,3162,0,333,333,333
1720510655035,5,438,3100,0,555,555,555
1720510655856,1,400,3175,0,1,1,1
1720510656829,2,417,3243,0,222,222,222
1720510657633,4,428,3187,0,444,444,444
1720510657811,3,443,3162,0,333,333,333
1720510658111,5,503,3100,0,555,555,555
1720510658925,1,400,3175,0,1,1,1
1720510659899,2,410,3243,0,222,222,222
1720510660721,4,461,3193,0,444,444,444
1720510660904,3,474,3162,0,333,333,333
1720510661188,5,473,3100,0,555,555,555
1720510661996,1,400,3181,0,1,1,1
1720510662958,2,400,3250,0,222,222,222
1720510663792,4,465,3200,0,444,444,444
1720510663966,3,435,3168,0,333,333,333
1720510664273,5,400,3100,0,555,555,555
1720510665071,1,400,3175,0,1,1,1
1720510666030,2,400,3250,0,222,222,222
1720510666864,4,457,3206,0,444,444,444
1720510667041,3,400,3175,0,333,333,333
1720510667345,5,400,3106,0,555,555,555
1720510668153,1,446,3175,0,1,1,1
1720510669098,2,400,3250,0,222,222,222
1720510669944,4,449,3212,0,444,444,444
1720510670119,3,400,3175,0,333,333,333
1720510670424,5,400,3106,0,555,555,555
1720510671226,1,453,3175,0,1,1,1
1720510672169,2,400,3243,0,222,222,222
1720510673024,4,400,3212,0,444,444,444
1720510673195,3,401,3181,0,333,333,333
1720510673496,5,422,3100,0,555,555,555
1720510674310,1,402,3175,0,1,1,1
1720510675239,2,400,3243,0,222,222,222
1720510676089,4,400,3212,0,444,444,444
1720510676273,3,421,3181,0,333,333,333
1720510676571,5,400,3100,0,555,555,555
1720510677384,1,541,3175,0,1,1,1
1720510678310,2,400,3237,0,222,222,222
1720510679169,4,400,3212,0,444,444,444
1720510679361,3,485,3187,0,333,333,333
1720510679646,5,410,3100,0,555,555,555
1720510680455,1,615,3175,0,1,1,1
1720510681381,2,509,3250,0,222,222,222
1720510682244,4,477,3212,0,444,444,444
1720510682436,3,400,3193,0,333,333,333
1720510682723,5,402,3100,0,555,555,555
1720510683534,1,523,3175,0,1,1,1
1720510684451,2,437,3250,0,222,222,222
1720510685320,4,481,3212,0,444,444,444
1720510685508,3,432,3193,0,333,333,333
1720510685808,5,406,3106,0,555,555,555
1720510686613,1,508,3175,0,1,1,1
1720510687521,2,438,3250,0,222,222,222
1720510688399,4,497,3212,0,444,444,444
1720510688580,3,422,3193,0,333,333,333
1720510688880,5,400,3106,0,555,555,555
1720510689687,1,711,3175,0,1,1,1
1720510690590,2,433,3256,0,222,222,222
1720510691490,4,538,3212,0,444,444,444
1720510691661,3,486,3200,0,333,333,333
1720510691958,5,400,3106,0,555,555,555
1720510692771,1,623,3181,0,1,1,1
1720510693662,2,448,3250,0,222,222,222
1720510694563,4,428,3212,0,444,444,444
1720510694741,3,513,3200,0,333,333,333
1720510695034,5,400,3106,0,555,555,555
1720510695844,1,535,3181,0,1,1,1
1720510696730,2,400,3250,0,222,222,222
1720510697642,4,474,3212,0,444,444,444
